,"Type","Date","Num","Name","Memo","Source Name","Account","Amount","Balance","Account Type"
"Parts",,,,,,,,,"",
"5245K12 (Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI)",,,,,,,,,"",
,"Credit Card Charge","12/23/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Max & Ermas","64300 · Business Meals",92.47,22242.03,"Expense"
,"Credit Card Charge","12/23/2023","CC","General Films:GF12 - 2-Up Bag Machine",,"Chipotle","64300 · Business Meals",36.17,22278.20,"Expense"
,"Credit Card Charge","12/24/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",8.00,22286.20,"Expense"
,"Credit Card Charge","12/24/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",285.00,22571.20,"Expense"
,"Credit Card Charge","12/24/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Coldstone","64300 · Business Meals",7.60,22578.80,"Expense"
,"Credit Card Credit","12/24/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",-79.00,22499.80,"Expense"
,"Credit Card Charge","12/25/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",35.00,22534.80,"Expense"
,"Credit Card Charge","12/25/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",24.00,22558.80,"Expense"
,"Credit Card Charge","12/25/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Dunkin Donuts","64300 · Business Meals",13.45,22572.25,"Expense"
,"Credit Card Charge","12/25/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Home2 Suites","68400 · Travel Expense",916.64,23488.89,"Expense"
,"Credit Card Charge","12/26/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Hudson","64300 · Business Meals",37.51,23526.40,"Expense"
,"Credit Card Charge","12/26/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",6.48,23532.88,"Expense"
